Comercializador,Mercado,Nivel de Tensión,G,T,D,C,COT,P,R,CU,CU + COT
Enertotal,CALI,3,420.39,56.76,94.37,42.47,0.00,27.0,40.58,681.60,681.60
Enertotal,CALI,2,420.39,56.76,153.18,42.47,0.00,29.06,40.58,742.44,742.44
Enertotal,CALI,1 OR,420.39,56.76,261.04,42.47,0.00,65.23,40.58,886.46,886.46
Enertotal,CALI,1 US,420.39,56.76,232.54,42.47,14.25,65.23,40.58,857.96,872.21
Enertotal,CALI,1 COMP,420.39,56.76,246.79,42.47,14.25,65.23,40.58,872.21,872.21
Enertotal,VALLE,3,425.20,56.76,94.37,40.00,0.00,27.13,40.58,684.03,684.03
Enertotal,VALLE,2,425.20,56.76,153.18,40.00,0.00,32.00,40.58,747.72,747.72
Enertotal,VALLE,1 OR,425.20,56.76,261.04,40.00,63.53,77.83,40.58,901.39,964.92
Enertotal,VALLE,1 US,425.20,56.76,189.68,40.00,63.53,77.83,40.58,830.03,893.56
Enertotal,VALLE,1 COMP,425.20,56.76,225.36,40.00,63.53,77.83,40.58,865.71,929.24
Enertotal,NARIÑO,2,420.62,56.76,153.18,76.40,41.90,26.00,40.58,773.55,815.45
Enertotal,NARIÑO,1 OR,420.62,56.76,261.04,76.40,42.40,78.52,40.58,933.92,976.32
Enertotal,NARIÑO,1 US,420.62,56.76,201.98,76.40,42.40,78.52,40.58,874.86,917.26
Enertotal,NARIÑO,1 COMP,420.62,56.76,231.51,76.40,42.40,78.52,40.58,904.39,946.79
Enertotal,ANTIOQUIA,3,406.91,56.76,90.89,36.32,19.47,20.80,40.58,652.25,671.72
Enertotal,ANTIOQUIA,2,406.91,56.76,206.27,36.32,21.04,23.52,40.58,770.36,791.40
Enertotal,ANTIOQUIA,1 OR,406.91,56.76,326.95,36.32,45.22,80.31,40.58,947.82,993.04
Enertotal,ANTIOQUIA,1 US,406.91,56.76,255.88,36.32,45.22,80.31,40.58,876.76,921.98
Enertotal,ANTIOQUIA,1 COMP,406.91,56.76,291.41,36.32,45.22,80.31,40.58,912.29,957.51
Enertotal,BOGOTA,3,386.39,56.76,127.35,32.34,32.79,23.79,40.58,667.20,699.99
Enertotal,BOGOTA,2,386.39,56.76,188.35,32.34,37.89,24.55,40.58,728.96,766.85
Enertotal,BOGOTA,1 OR,386.39,56.76,299.01,32.34,0.00,74.33,40.58,889.40,889.40
Enertotal,BOGOTA,1 US,386.39,56.76,245.74,32.34,25.73,74.33,40.58,836.13,861.86
Enertotal,BOGOTA,1 COMP,386.39,56.76,272.37,32.34,0.00,74.33,40.58,862.77,862.77
Enertotal,CAUCA,3,430.45,56.76,94.37,66.60,0.00,28.68,40.58,717.44,717.44
Enertotal,CAUCA,2,430.45,56.76,153.18,66.60,0.00,34.43,40.58,782.00,782.00
Enertotal,CAUCA,1 OR,430.45,56.76,261.04,66.60,0.00,90.86,40.58,946.28,946.28
Enertotal,CAUCA,1 US,430.45,56.76,170.56,66.60,0.23,90.86,40.58,855.81,856.04
Enertotal,BOYACA,3,371.50,56.76,127.35,32.44,23.86,19.02,40.58,647.65,671.51
Enertotal,BOYACA,2,371.50,56.76,188.35,32.44,26.58,22.42,40.58,712.05,738.63
Enertotal,BOYACA,1 OR,371.50,56.76,299.01,32.44,26.07,79.84,40.58,880.13,906.20
Enertotal,BOYACA,1 US,371.50,56.76,209.66,32.44,26.08,79.84,40.58,790.78,816.86
Enertotal,CARIBE MAR,2,396.67,56.76,131.71,37.40,59.09,46.92,40.58,710.04,769.13
Enertotal,CARIBE MAR,1 OR,396.67,56.76,204.81,37.40,85.85,158.87,40.58,895.09,980.94
Enertotal,CARIBE MAR,1 US,396.67,56.76,168.92,37.40,85.85,158.87,40.58,859.20,945.05
Enertotal,CARIBE SOL,2,396.67,56.76,86.29,30.67,0.00,47.29,40.58,658.24,658.24
Enertotal,CARIBE SOL,1 OR,396.67,56.76,128.99,30.67,14.26,111.96,40.58,765.61,779.87
Enertotal,CARIBE SOL,1 US,396.67,56.76,105.85,30.67,14.26,111.96,40.58,742.48,756.74
Enertotal,CALDAS,2,378.80,56.76,206.27,31.92,42.88,31.37,40.58,745.70,788.58
Enertotal,CALDAS,1 OR,378.80,56.76,326.95,31.92,73.91,70.40,40.58,905.40,979.31
Enertotal,CALDAS,1 US,378.80,56.76,249.31,31.92,73.90,70.40,40.58,827.77,901.67
Enertotal,CALDAS,1 COMP,378.80,56.76,288.13,31.92,74.90,70.40,40.58,866.59,941.49
Enertotal,CARTAGO,2,431.98,56.76,153.18,33.71,0.00,32.07,40.58,748.27,748.27
Enertotal,CARTAGO,1 OR,431.98,56.76,261.04,33.71,0.00,93.80,40.58,917.86,917.86
Enertotal,CARTAGO,1 US,431.98,56.76,221.12,33.71,0.00,93.80,40.58,877.94,877.94
Enertotal,TOLIMA,2,431.83,56.76,188.35,33.49,0.00,45.99,40.58,797.00,797.00
